Mcat Name,Subcat name,PC_ITEM_ID,PC_ITEM_FOB_PRICE,PC_ITEM_MOQ_UNIT_TYPE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",42,4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",43,4500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",44,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",45,17000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",46,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",47,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",48,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",49,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",50,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",51,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",52,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",53,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",54,5000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",55,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",56,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",57,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",58,35000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",59,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",60,7000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",61,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",62,22320,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",63,10000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",64,18500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",65,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",66,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",67,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",68,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",69,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",70,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",71,8500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",72,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",73,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",74,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",75,17700,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",76,10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",77,8250,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",78,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",79,17000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",80,62000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",81,30000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",82,7500,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",83,6500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",84,8000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",85,32000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",86,8000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",87,29700,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",88,27115,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",89,27115,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",90,27115,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",91,14000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",92,6500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",93,6500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",94,8000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",95,4000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",96,15500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",97,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",98,20064,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",99,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",100,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",101,107520,Nos
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",102,85250,Nos
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",103,85520,Nos
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",104,45000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",105,202180,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",106,72436,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",107,20000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",108,8500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",109,81000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",110,46199,Nos
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",111,70000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",112,95000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",113,22600,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",114,14900,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",115,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",116,14500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",117,13200,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",118,75000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",119,62300,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",120,75020,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",121,38350,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",122,25000,NOS
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",123,10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",124,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",125,45000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",126,7500,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",127,2500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",128,33600,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",129,1000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",130,18800,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",131,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",132,115000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",133,1000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",134,1000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",135,29990,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",136,12700,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",137,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",138,13000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",139,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",140,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",141,25000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",142,14358.01,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",143,9000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",144,10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",145,17850,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",146,7500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",147,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",148,20000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",149,9500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",150,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",151,6000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",152,7000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",153,25000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",154,9000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",155,25000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",156,9000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",157,3000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",158,12000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",159,19120,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",160,17499,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",161,1000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",162,1000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",163,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",164,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",165,1500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",166,1500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",167,1000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",168,119252,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",169,1500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",170,24500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",171,20000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",172,5400,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",173,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",174,9500,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",175,29500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",176,13000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",177,10692,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",178,92950,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",179,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",180,6000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",181,6000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",182,17500,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",183,6000,NOS
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",184,1000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",185,70000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",186,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",187,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",188,9000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",189,6000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",190,4000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",191,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",192,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",193,7500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",194,10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",195,4200,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",196,28000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",197,40000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",198,9899,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",199,8291,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",200,14232,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",201,550000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",202,20000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",203,11500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",204,5000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",205,32010,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",206,20000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",207,1000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",208,7500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",209,29500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",210,7500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",211,28000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",212,12500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",213,21900,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",214,152000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",215,32000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",216,10000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",217,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",218,4000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",219,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",220,5000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",221,19600,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",222,8900,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",223,30000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",224,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",225,14500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",226,26500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",227,9000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",228,38350,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",229,45000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",230,25000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",231,18000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",232,18000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",233,18000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",234,17832,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",235,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",236,35000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",237,18000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",238,18000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",239,44000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",240,16000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",241,20000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",242,19000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",243,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",244,15000,Number
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",245,38900,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",246,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",247,15000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",248,15000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",249,17875,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",250,9116,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",251,14872,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",252,15405,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",253,14800,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",254,15535,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",255,17875,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",256,17875,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",257,24024,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",258,17875,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",259,19207,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",260,25707,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",261,24734,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",262,25707,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",263,28421,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",264,28421,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",265,28421,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",266,41291,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",267,37537,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",268,41291,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",269,78650,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",270,75075,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",271,78650,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",272,17875,Piece
